UDR.N,FI.N,KEY.N,WAB.N,RL.N,AJG.N,ORCL.N,FDX.N,VZ.N,AOS.N,CPB.N,C.N,L.N,OXY.N,FDS.N
-0.0215985186665775,-0.0544166033872803,0.0603683492647211,-0.0451877934145805,0.0486111111237093,-0.0372422283784885,0.0462121212109818,-0.0032592592500897,0.061806137949646,-0.105338987441479,-0.0175373134347979,0.0276060980572304,0.0851365015050309,0.0428503788081394,-0.0041873854938386
0.0200000000238847,0.0334582441119861,0.0527500804079709,-0.0251887011006998,0.111589403976529,0.0757672634287125,-0.0673425054596513,0.0208085612244018,0.0398806294167537,-0.0035245113788103,0.061906570457192,0.0157639450353129,0.126402565609316,0.0079455164784094,-0.0304827698052039
0.0397456279704216,-0.0735560735605121,-0.0657001850686816,-0.101577287075369,0.0226392612364295,-0.0245333395025251,-0.0675465838423683,0.0953084676121052,-0.0466997130334237,-0.069131832806547,-0.0246781116067587,0.028651014735258,-0.0204013932654078,0.0433078176099448,0.15557969049331
-0.0698430714394972,0.0220855465750311,-0.0194783756907272,0.144662921353546,0.009334889155637,-0.0104390543482468,-0.0657785179020269,-0.0432410856865733,0.0434107333988658,0.0379536006825574,0.019066046632811,-0.062101824257544,-0.0177785303048764,0.0249728555949262,-0.0657894736806415
0.11086350975107,0.0344638949644052,0.0680201183421003,0.0122733053903883,-0.0404624277553087,-0.0117902575340707,0.0089126559818564,0.0232234737874184,-0.0837307896106572,-0.0150501672380796,-0.0767281939805282,-0.0345186109451349,-0.0039490363772779,-0.0635593220315683,0.101065725097575
-0.0080240721950418,0.0282919090293462,-0.0483922317835689,0.0939963614309545,0.0391566265031815,-0.0363150276802753,0.0538869258018946,0.111236454801225,0.0465587044645244,0.0794567062765905,0.0537044296491889,0.0015076459234872,0.0404303314486214,0.1019287031044829,0.0814458933953013
-0.0050050944994757,-0.119053741294661,0.0097022415362382,0.0088691796016018,-0.0432510885356797,0.0170771757071531,-0.119027661372756,0.0023258660747063,0.0763018555128526,-0.0915521964388132,-0.0422703004806669,-0.0432627172061957,-0.0555370246757087,0.017764924596846,-0.0871588745660158
0.094894275376554,0.0151780502095076,0.0489869415518995,-0.0593335024743506,0.108313106785542,0.0287374878990958,-0.0513796384440903,0.0013434294169145,0.0184224182771131,-0.149721448471973,0.0144587729756089,0.0564753912552405,0.0056948033733588,0.0483052567699478,0.0335642547533621
-0.0659444182603114,0.0023001725114539,0.0079744816636613,0.0923436586680161,-0.0030316138459118,0.0477900895615961,0.131394182536274,0.0460001602946447,0.0033121018934425,-0.0028665028702561,0.0127118644078972,-0.0528123658378218,0.0299295774594011,0.0885592891044875,0.0824163484919018
0.0788918967658867,0.0195065978334543,0.0629746835403704,0.0845371856470123,0.0153973054853882,-0.151826139466945,0.122340425544056,0.0633679542390899,0.0021053823560019,0.0964333806154116,0.0274946113905434,0.0147550799019158,0.0239316239375322,-0.0017879492238994,0.0340248962570862
0.090607210634722,0.0835678109117408,0.0003199393414046,0.015273297656906,0.0666125101539103,0.0907473309435216,1.163225e-11,0.0429104477366771,0.0544757033314411,0.1322532027018439,0.0629657227818508,0.0085643452916681,0.169653470435939,0.0784524449312367,0.0377117905906765
0.078729882546599,0.0436250324562788,0.0183238209588736,0.0364608653342209,0.0827833288243591,0.0685558517984233,0.0837282780172851,0.0371378820364747,-0.0174630123742236,-0.0036605657030695,0.0536138382061371,0.0766480446973161,0.0055786010327543,-0.0258572877844749,0.131461761859359
-0.0922960034923704,-0.0482707141150478,-0.014159292041736,-0.12570356471776,-0.0856807511725124,-0.0876923076987453,0.0036443148754159,-0.0288354147639749,-0.112899248524856,-0.0891306204073871,-0.0190699230454058,0.0180572851731116,-0.0327169274480942,0.0003427004835023,-0.086242299794862
-0.005400540079936,-0.0081045751645942,-0.0028248957342019,-0.0117857443262697,0.0115532734122854,0.0070826306951654,-0.0624546114696691,0.0222686879152349,0.010677156498313,-0.0306160088587254,-0.0552523874523402,-0.0184057416569506,0.0504118602646775,0.2036656389202309,-0.071863078275395
-0.0556561085907697,0.049024775978661,-0.0166666666709782,0.11298207497295,-0.0139357359773108,-0.0261413972113974,-0.0333075135647631,-0.0384940784250344,-0.013066444268201,0.098554033476653,0.04765342959071,-0.0582564962404573,0.031705948395508,0.0170905213345835,0.0006062443021011
0.0764149365047124,0.0628140703826649,0.0218798151118056,-0.0239141044373394,-0.0953608247442647,-0.0333333333518162,-0.0737179487061216,-0.0957956359644969,0.0199523283331042,-0.0073601291639784,0.0309020063080426,0.0549028687276947,-0.0361707914109787,-0.0304903751360739,-0.159042714333952
0.040632054179754,0.0165484633671833,-0.0023093964661862,0.0355219364562459,0.103988603961935,-0.0079022988500857,0.10899653978404,0.0526191877697844,-0.0117318435633585,0.100350877177061,0.0433759246824132,0.0031942078121227,0.0644978920388197,0.0595652173637817,0.154905346312899
0.0433839479506448,-0.0011627907138391,0.0119047618982765,0.0376811594324002,0.113804061541896,-0.0074283346786642,0.0296411856513616,-0.0932425662817444,-0.0234595816732242,-0.148278061216531,-0.0083789880889585,-0.0186796858291756,0.0292164674736559,0.0566760545433562,0.119650109333356
0.0711697569034204,0.0330616996600039,0.0328808446415663,0.13733705775052,0.14219438646512,0.028013269424946,0.0287878787831737,0.0380199975425493,0.0023954997461008,0.0167926705335623,0.0082381086651894,-0.049613054091135,0.0790967741860122,0.0695437410799247,0.0234374999824065
-0.0695481336074212,0.0112688753756152,-0.0230670546383765,0.064689257691575,0.0062956945720003,0.0240229473050708,-0.0449189985429613,-0.0315138542194666,-0.0444054922419247,0.0422222222156594,-0.0470016207355035,0.0062068965813724,0.0503579240633472,0.0091152163251846,-0.0444258080620802
0.000844594584759,0.0222866057761726,-0.0262681159541762,0.0492307692278617,0.0161624454325002,0.018577883340186,-0.0447185813417659,0.0709332573936829,-0.0006114338281364,0.0127931769887635,0.0119047619008713,0.0399817226350343,0.0538259778937506,0.0327068932236803,0.0068571428666421
-0.0529685843901986,-0.0477436232620954,-0.0003100775131176,-0.0029325513244118,-0.0218687872795253,0.0211732037432051,0.0234059725516615,0.0550900952637077,-0.0236681084600702,0.14202328265764,-0.0158478115187328,0.0057117750281026,0.006168163622487,-0.0766709586939459,-0.0048240635932699
0.0117487573370924,0.0418956043845657,0.038523258109789,-0.050026298264555,0.0894308942859972,0.0350101971235426,-0.0086750788662148,0.0618949200388419,0.0149158996933749,0.124150710338321,0.038144329909525,0.0707735037421451,0.0403199732882295,0.0053245436034288,0.10553374163967
0.0468959357047651,-0.049219951638402,-0.0069360675570258,0.0414246999507735,0.0483170893628858,0.0232961156130833,-0.0286396181446632,0.0599706121517003,-0.0581613508626158,-0.0357142856943043,-0.0086619399350305,-0.0004119464496965,-0.0179126112990677,0.0117042305600565,0.063016528930159
