STT.N,BBY.N,PG.N,FMC.N,AMAT.OQ,A.N,CNP.N,WFC.N,TAP.N,OXY.N,LEN.N,IEX.N,AES.N,GIS.N,PH.N
-0.0108768035434302,-0.0479567713627731,0.0449394294626875,0.129988597491695,0.0335403726630339,-0.0865921787779609,0.0714640301206024,0.0425603063177491,0.126134011022635,0.0784524449312367,0.0019398762789104,0.0840108401055579,0.12293577982698,0.028022598900548,0.0617964729649476
0.106157575280456,0.0539198296869199,0.0299177262734869,-0.025227043398659,0.0276442307374332,0.0528615115555693,0.0125448028774258,0.0061518536714602,0.0102803738209349,-0.0258572877844749,0.261517916770798,0.0124999999980544,0.116830065333248,0.092767641239796,0.0125668449344272
-0.0877442996860236,-0.0930694589337929,-0.0293249275209785,-0.0229813664648877,-0.0701754385898067,-0.0825726141245465,-0.0044247787559569,-0.0136765888977554,-0.0141403462387106,0.0003427004835023,-0.0037050105735067,-0.0450635636175554,0.0277980980330135,0.0726183349377267,-0.139688407713106
-0.0214237893457596,0.004275887725069,-0.0026300958052321,0.0459843187174118,0.100628930834419,0.0854816824970996,0.0736534064859711,-0.0236713910120999,-0.0636033315697299,0.2036656389202309,0.079623790863671,0.0246433203747625,0.191459074716013,-0.011700320835485,0.0128345720627396
0.0009309122364034,-0.0001851166337991,-0.0016952345246051,0.082860615859925,-0.0714285714272344,-0.0749999999965006,0.0122070116981443,0.0070730886172725,0.109880627046276,0.0170905213345835,-0.0680697139097201,0.0215189873457042,-0.0215053763284228,-0.0614855833614215,-0.074164133752801
0.0574107959902685,-0.0658661051976642,0.027056335166975,-0.0832553788533014,-0.0849230769193853,-0.0653153153321044,-0.0157938486923261,0.0023411371218253,-0.199818582350758,-0.0304903751360739,-0.0919195483243199,-0.0740720204644887,-0.0183150182970853,0.011388589828075,-0.0160866710396643
0.0382868267390037,0.0812475168923931,0.0184672206733638,0.1316326530393,0.105623111749097,0.157108433727287,0.0354729729681029,0.0158148643678291,-0.0479013230227031,0.0595652173637817,0.130050270224135,0.0311409396044625,-0.074004975115618,0.0020242914850428,0.0098931367255576
0.0088941654793495,0.261436707673385,-0.0435176790292064,0.0124436429216312,-0.0140158440006083,-0.0412328196706909,0.083521696594764,0.0193676543604255,0.0603728407928075,0.0566760545433562,0.0937769349950606,0.0052069773402352,0.100067159162486,-0.054747474757579,0.0278468423764378
0.0308808290121607,0.117432531016751,0.0599640630235894,0.0773067331455433,0.140914709507172,0.139878366628279,0.040121120384518,-0.0038973692527976,0.011290322602052,0.0695437410799247,0.0602048857230744,0.13473616479374,-0.0201465201287293,0.0203250095029997,0.0598290598257498
-0.0283474065084288,-0.066710089463658,-0.0026963868442543,-0.0582010581916026,-0.0064388160249527,0.225609756099268,0.034206695776239,-0.0197886920054814,0.0276366798365417,0.0091152163251846,-0.0749416802575081,-0.0041208791122332,-0.0193146417363049,-0.0270042194235113,-0.0159261835139907
0.0159306112198381,-0.0849769188824615,0.0717375631138352,0.0045646067194704,-0.0737302020704432,0.0183457711499917,0.0514668111163603,-0.0176115397533896,-0.0015598190556511,0.0327068932236803,-0.0376811594490415,-0.021839080428487,0.043837357036089,0.045099739825422,-0.0020173805041745
0.128986099774517,0.0167700436151197,-0.0536224439308661,-0.0485844110464542,-0.0341981132016432,-0.0225954198430345,-0.109616677872958,0.0278299470487169,-0.0360881112201474,-0.0766709586939459,-0.0699464524681469,-0.0567180261621199,-0.0328667072438326,0.0081485071575788,-0.025345980397978
0.0445410102852356,0.0899231812094192,0.02143239863014,-0.0233284349670155,0.10748630673837,0.114026866603325,0.0031407742188465,0.053124249580458,0.0844470811134713,0.0053245436034288,0.0406472128002384,0.102948525749152,-0.0075519194762473,-0.0151263986636293,0.0951864424332749
-0.0357369488915302,-0.0970322856342244,0.0120650463575958,-1.0771609999999999e-11,-0.0093870789755565,-0.0664610207224576,-0.0279878971330347,-0.0003182179727825,0.0060069079345943,0.0117042305600565,0.057905686527673,-0.0686452197581798,0.0038046924522103,0.037660424997654,-0.035813477560253
0.0905483405309463,0.165133394657799,0.0282078883034027,0.0611246943728856,0.0618729096853422,0.0186242114610835,-0.0054474708435586,-0.0074805029368033,-0.067024929109048,0.2232098147429249,0.0252376270017727,0.122103349953283,0.0764371446561989,-0.0076572860863609,0.148726500905659
0.0334105193669028,0.0631662060729328,0.0118183353075549,0.0778092874871961,-0.035844779020811,0.0616337363626267,0.0268914699329883,0.0381630013054393,0.0090859585303078,-0.0631460444356835,-0.0406405646473543,0.0271739130336121,0.0152582159583816,0.0131660152190624,0.0347041068793565
-0.0297292450869717,0.0384329743736702,-0.038544969160569,0.0221921963395563,-0.0452562704430677,0.0430555555699736,-0.0801850424056471,-0.0051401869247894,0.0935458167482321,0.0161662715372308,0.0086869361674919,0.104126984115357,-0.0138728323807019,0.0290355330028289,0.0312140207573044
